"no_of_tv_shows","country"
760,"United States"
213,"United Kingdom"
169,"Japan"
158,"South Korea"
79,"India"
68,"Taiwan"
59,"Canada"
49,"France"
48,"Spain"
48,"Australia"
40,"Mexico"
38,"China"
29,"Turkey"
27,"Brazil"
24,"Thailand"
22,"Colombia"
22,"United States, Canada"
20,"Germany"
18,"Argentina"
17,"Singapore"
14,"Egypt"
14,"Russia"
13,"Canada, United States"
13,"Italy"
12,"United Kingdom, United States"
10,"United States, Japan"
9,"United States, United Kingdom"
9,"Nigeria"
8,"Sweden"
8,"Denmark"
8,"Israel"
8,"Belgium"
6,"Lebanon"
6,"South Africa"
6,"Malaysia"
6,"Mexico, United States"
6,"Poland"
5,"United States, France, Japan"
5,"Norway"
4,"Pakistan"
4,"Netherlands"
4,"France, United States"
3,"United States, Mexico"
3,"United States, Colombia"
3,"Chile"
3,"United States, New Zealand"
3,"Japan, United States"
3,"Australia, United States"
3,"South Korea, United States"
3,"Iceland"
3,"United States, Czech Republic"
3,"Hong Kong"
3,"Saudi Arabia"
3,"Ireland"
3,"France, Belgium"
2,"Canada, United States, France"
2,"United States, South Korea, China"
2,"China, United Kingdom"
2,"Colombia, Mexico, United States"
2,"Canada, Australia"
2,"Denmark, United States"
2,"Israel, United States"
2,"United States, Japan, Canada"
2,"Philippines"
2,"United States, France"
2,"Ukraine"
2,"Indonesia"
2,"Poland, United States"
2,"Jordan"
2,"New Zealand"
2,"United Kingdom, Canada, United States"
2,"United Kingdom, United States, Spain, Germany, Greece, Canada"
2,"United Kingdom, Canada"
2,"Kuwait"
1,"United States, United Kingdom, Australia"
1,"United States, Ireland"
1,"Austria, Germany"
1,"Denmark, Singapore, Canada, United States"
1,"United States, France, South Korea, Indonesia"
1,"Czech Republic, United States"
1,"Mauritius, South Africa"
1,"United States, Mexico, Colombia"
1,"United States, Russia"
1,"Colombia, United States"
1,"France, United Kingdom"
1,"Italy, United Kingdom"
1,"France, United States, Canada"
1,"United Kingdom, France, Germany, Spain"
1,"South Korea, China"
1,"United States, Italy"
1,"United Kingdom, Singapore"
1,"Australia, New Zealand"
1,"Malaysia, Singapore, Hong Kong"
1,"France, South Korea, Japan, United States"
1,"United Kingdom, Germany"
1,"Norway, Germany, Sweden"
1,"United Kingdom, West Germany"
1,"United Kingdom, United States, Ireland"
1,"Ireland, United Kingdom, United States"
1,"Italy, United States"
1,"Finland, France"
1,"Canada, Japan, Netherlands"
1,"Belarus"
1,"Finland, Germany"
1,"France, Japan, United States"
1,"Netherlands, Germany, Italy, Canada"
1,"United Kingdom, Germany, United States, France"
1,"Japan, Canada"
1,"France, Germany"
1,"Taiwan, Malaysia"
1,"South Korea, Canada, United States, China"
1,"United States, Poland"
1,"Canada, United States, United Kingdom, France, Luxembourg"
1,"Australia, Canada"
1,"United Kingdom, China"
1,"Belgium, Netherlands"
1,"Philippines, Singapore, Indonesia"
1,"Argentina, United States, Mexico"
1,"Australia, Germany"
1,"United Kingdom, Spain"
1,"Australia, New Zealand, United States"
1,"Luxembourg"
1,"Germany, United States"
1,"France, Canada"
1,"United States, Chile"
1,"India, Germany, France"
1,"United States, Ireland, United Kingdom, India"
1,"Canada, United Kingdom, United States"
1,"Canada, United States, Ireland"
1,"Italy, Canada, France"
1,"Norway, Sweden"
1,"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland"
1,"Cyprus"
1,"Italy, United Kingdom, France"
1,"United States, France, Denmark"
1,"United Arab Emirates"
1,"Brazil, United Kingdom"
1,"India, United States"
1,"Spain, Germany, Denmark, United States"
1,"United States, Colombia, Mexico"
1,"United Kingdom, Ireland"
1,"United States, Netherlands, Japan, France"
1,"United Kingdom, France"
1,"United States, Israel, Italy, South Africa"
1,"France, Australia, Germany"
1,"Canada, Germany, South Africa"
1,"United Kingdom, United States, Czech Republic"
1,"Canada, United Kingdom"
1,"United States, Australia"
1,"United States, Mexico, Spain, Malta"
1,"Chile, Italy"
1,"Mexico, United States, Spain, Colombia"
1,"Finland"
1,"Uruguay, Germany"
1,"Senegal"
1,"Germany, France, Russia"
1,"France, United Kingdom, United States"
1,"Puerto Rico, United States, Colombia"
1,"Mexico, Spain"
1,"United States, Brazil, South Korea, Mexico, Japan, Germany"
1,"Taiwan, China"
1,"Japan, Canada, United States"
1,"United Kingdom, Ireland, United States"
1,"Germany, United States, Italy"
1,"Spain, Italy"
1,"Singapore, United States"
1,"United States, France, Canada"
1,"United Kingdom, Australia"
1,"Italy, South Africa, West Germany, Australia, United States"
1,"United States, Sweden"
1,"Italy, Germany"
1,"United States, Singapore"
1,"United States, India"
1,"Switzerland"
1,"South Korea, France"
1,"Ireland, United States, United Kingdom"
1,"United States, Brazil, Japan, Spain, India"
1,", South Korea"
1,"Germany, Czech Republic"
1,"Croatia"
1,"Canada, Brazil"
1,"Germany, Australia, France, China"
1,"Spain, Cuba"
1,"Canada, France"
1,"Turkey, Azerbaijan"
1,"Ireland, Canada, United States, United Kingdom"
1,"Argentina, Spain"
1,"China, Hong Kong"
1,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait"
1,"Norway, Denmark"
1,"United Kingdom, South Africa, Australia, United States"
1,"Australia, United Kingdom"
1,"United States, New Zealand, Japan"
1,"Norway, United States"
1,"United States, Hungary, Ireland, Canada"
1,"Spain, United Kingdom"
